,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
108,4,6.0,0.38517440000000036,"[1, 0, 1, 0]",geometric,2500,0.99,0.001,2490.340877725993,2500,8192
109,8,0.0,0.598282900000001,"[1, 1, 1, 1]",geometric,2500,0.99,0.001,2485.01274372189,2500,8192
110,16,8.0,0.793600099999999,"[1, 0, 0, 1]",geometric,2500,0.99,0.001,2480.139439833959,2500,8192
111,32,11.0,0.9870052999999999,"[0, 1, 0, 1]",geometric,2500,0.99,0.001,2475.3232588293254,2500,8192
112,64,0.0,1.1787481,"[0, 0, 1, 1]",geometric,2500,0.99,0.001,2470.5577073017707,2500,8192
113,128,0.0,1.374213700000002,"[0, 0, 1, 1]",geometric,2500,0.99,0.001,2465.7090733346786,2500,8192
114,256,7.0,1.5745187000000023,"[0, 0, 0, 1]",geometric,2500,0.99,0.001,2460.750267248176,2500,8192
115,512,0.0,1.8158536000000005,"[0, 1, 1, 1]",geometric,2500,0.99,0.001,2454.7889578448508,2500,8192
116,1024,11.0,2.0633987000000005,"[0, 1, 0, 1]",geometric,2500,0.99,0.001,2448.689251337976,2500,8192
117,2048,11.0,2.4246537000000004,"[0, 1, 0, 1]",geometric,2500,0.99,0.001,2439.8148319021134,2500,8192
118,4096,11.0,3.2022154,"[0, 1, 0, 1]",geometric,2500,0.99,0.001,2420.8225803035807,2500,8192
119,8192,11.0,3.9300633000000005,"[0, 1, 0, 1]",geometric,2500,0.99,0.001,2403.178595263846,2500,8192
120,0,0.0,0.00010259999999817637,"[0, 0, 0, 0]",geometric,5000,0.99,0.001,4999.994844180365,5000,8192
121,1,5.0,0.0012724999999988995,"[0, 0, 1, 0]",geometric,5000,0.99,0.001,4999.93605514703,5000,8192
122,2,0.0,0.22063329999999937,"[0, 0, 0, 0]",geometric,5000,0.99,0.001,4988.92508967838,5000,8192
123,4,6.0,0.46143789999999996,"[1, 0, 1, 0]",geometric,5000,0.99,0.001,4976.865656095141,5000,8192
124,8,0.0,0.687856,"[1, 1, 1, 1]",geometric,5000,0.99,0.001,4965.553286327542,5000,8192
125,16,8.0,0.9086791999999981,"[1, 0, 0, 1]",geometric,5000,0.99,0.001,4954.545218809087,5000,8192
126,32,11.0,1.1275467999999975,"[0, 1, 0, 1]",geometric,5000,0.99,0.001,4943.658718798707,5000,8192
127,64,0.0,1.349575999999999,"[0, 0, 1, 1]",geometric,5000,0.99,0.001,4932.639401619521,5000,8192
128,128,0.0,1.5784664999999976,"[0, 0, 1, 1]",geometric,5000,0.99,0.001,4921.305269391694,5000,8192
129,256,5.0,1.8317224000000003,"[1, 1, 0, 0]",geometric,5000,0.99,0.001,4908.794965404633,5000,8192
130,512,10.0,2.072126599999997,"[1, 1, 1, 0]",geometric,5000,0.99,0.001,4896.948931671362,5000,8192
131,1024,10.0,2.359419899999999,"[1, 1, 1, 0]",geometric,5000,0.99,0.001,4882.829903365396,5000,8192
132,2048,10.0,2.732554099999998,"[1, 1, 1, 0]",geometric,5000,0.99,0.001,4864.552977407346,5000,8192
133,4096,10.0,3.506947099999998,"[1, 1, 1, 0]",geometric,5000,0.99,0.001,4826.839551160728,5000,8192
134,8192,10.0,4.558111099999998,"[1, 1, 1, 0]",geometric,5000,0.99,0.001,4776.114572509769,5000,8192
135,0,0.0,0.00010059999999967317,"[0, 0, 0, 0]",geometric,10000,0.99,0.001,9999.989889367242,10000,8192
136,1,5.0,0.001590400000001324,"[0, 0, 1, 0]",geometric,10000,0.99,0.001,9999.840160736028,10000,8192
137,2,0.0,0.2751771000000005,"[0, 0, 0, 0]",geometric,10000,0.99,0.001,9972.381985359716,10000,8192
138,4,6.0,0.5500532000000007,"[1, 0, 1, 0]",geometric,10000,0.99,0.001,9944.870330882535,10000,8192
139,8,0.0,0.8488375000000019,"[1, 1, 1, 1]",geometric,10000,0.99,0.001,9915.05184628766,10000,8192
140,16,8.0,1.1404148999999997,"[1, 0, 0, 1]",geometric,10000,0.99,0.001,9886.038806105451,10000,8192
141,32,11.0,1.4156967000000016,"[0, 1, 0, 1]",geometric,10000,0.99,0.001,9858.725155609514,10000,8192
142,64,0.0,1.7059610999999997,"[0, 0, 1, 1]",geometric,10000,0.99,0.001,9830.006653211285,10000,8192
143,128,0.0,1.9976936999999992,"[0, 0, 1, 1]",geometric,10000,0.99,0.001,9801.227180889875,10000,8192
144,256,5.0,2.296713499999999,"[1, 1, 0, 0]",geometric,10000,0.99,0.001,9771.816264325496,10000,8192
145,512,10.0,2.5940838,"[1, 1, 1, 0]",geometric,10000,0.99,0.001,9742.65511490137,10000,8192
146,1024,10.0,2.956892100000001,"[1, 1, 1, 0]",geometric,10000,0.99,0.001,9707.194720261026,10000,8192
147,2048,10.0,3.4383702000000014,"[1, 1, 1, 0]",geometric,10000,0.99,0.001,9660.33491289495,10000,8192
148,4096,10.0,4.296296299999998,"[1, 1, 1, 0]",geometric,10000,0.99,0.001,9577.397278609149,10000,8192
149,8192,10.0,5.227489899999998,"[1, 1, 1, 0]",geometric,10000,0.99,0.001,9488.182376036346,10000,8192
